Transaction_ID,Date,Type,Category,Amount,Vendor_ID,Employee_ID,Program_ID,Grant_ID,State,Payment_Method,Status,Description
T000001,2026-03-04,Expense,Medicines,-394711,V119,,P013,G014,Delhi,Bank Transfer,Completed,Medicines
T000002,2025-09-06,Expense,Utilities,-9553,V073,,P004,G005,Tamil Nadu,Bank Transfer,Completed,Utilities
T000003,2026-06-07,Income,Individual Donation,18753,,,P006,G009,Karnataka,NEFT,Completed,Individual Donation
T000004,2025-09-07,Income,Government Grant,25177880,,,P005,G021,Karnataka,UPI,Completed,Government Grant
T000005,2026-02-05,Expense,Office Supplies,-29154,V004,,P015,G018,Uttar Pradesh,NEFT,Completed,Office Supplies
T000006,2026-05-19,Income,Individual Donation,12768,,,P011,G017,Maharashtra,UPI,Completed,Individual Donation
T000007,2024-11-04,Income,Corporate Donation,4009663,,,P014,G011,Karnataka,RTGS,Pending,Corporate Donation
T000008,2025-09-20,Income,International NGO,16006414,,,P010,G005,Delhi,UPI,Pending,International NGO
T000009,2026-05-07,Income,CSR Grant,8434181,,,P005,G016,Madhya Pradesh,UPI,Completed,CSR Grant
T000010,2026-03-22,Expense,Office Supplies,-35842,V109,,P004,G023,Karnataka,RTGS,Completed,Office Supplies
T000011,2026-07-16,Income,Corporate Donation,2678830,,,P011,G015,Rajasthan,UPI,Completed,Corporate Donation
T000012,2025-05-10,Income,Individual Donation,4120,,,P007,G020,Rajasthan,RTGS,Failed,Individual Donation
T000013,2025-12-12,Income,Corporate Donation,1188261,,,P010,G024,Karnataka,Cheque,Completed,Corporate Donation
T000014,2025-07-13,Income,Government Grant,38316461,,,P009,G013,Gujarat,Cheque,Pending,Government Grant
T000015,2025-01-17,Income,CSR Grant,15570692,,,P013,G013,Gujarat,Cheque,Completed,CSR Grant
T000016,2025-12-24,Income,Corporate Donation,2946651,,,P008,G019,Madhya Pradesh,Cheque,Completed,Corporate Donation
T000017,2024-09-18,Income,Corporate Donation,3456514,,,P002,G013,Delhi,UPI,Completed,Corporate Donation
T000018,2025-07-30,Expense,Utilities,-6925,V098,,P005,G002,Uttar Pradesh,UPI,Failed,Utilities
T000019,2025-05-13,Expense,Rent,-186081,V029,,P002,G003,Karnataka,Cheque,Failed,Rent
T000020,2024-12-26,Expense,Training,-69582,V029,,P013,G024,Uttar Pradesh,Bank Transfer,Completed,Training
T000021,2024-11-07,Expense,Salary,-30092,,E291,P008,G008,Tamil Nadu,UPI,Completed,Salary
T000022,2026-03-27,Income,Corporate Donation,4107690,,,P011,G007,Delhi,RTGS,Failed,Corporate Donation
T000023,2026-01-26,Expense,Consulting,-220100,V014,,P011,G001,Tamil Nadu,NEFT,Completed,Consulting
T000024,2026-06-07,Income,CSR Grant,6918435,,,P004,G001,Delhi,RTGS,Completed,CSR Grant
T000025,2025-10-04,Income,Government Grant,25123131,,,P006,G013,Rajasthan,Cheque,Completed,Government Grant
T000026,2024-12-30,Income,CSR Grant,9022707,,,P003,G017,Madhya Pradesh,NEFT,Failed,CSR Grant
T000027,2025-09-24,Income,Government Grant,15039261,,,P001,G002,Delhi,NEFT,Completed,Government Grant
T000028,2024-08-27,Expense,Travel,-27470,V054,,P012,G008,Tamil Nadu,NEFT,Pending,Travel
T000029,2025-05-29,Expense,Training,-68954,V039,,P007,G024,Delhi,RTGS,Completed,Training
T000030,2026-02-10,Expense,Nutrition Kits,-112420,V016,,P003,G015,Uttar Pradesh,RTGS,Completed,Nutrition Kits
T000031,2025-05-28,Income,International NGO,16367686,,,P005,G007,Delhi,NEFT,Pending,International NGO
T000032,2024-12-07,Income,Corporate Donation,4334407,,,P009,G019,Rajasthan,Cheque,Completed,Corporate Donation
T000033,2025-05-28,Income,International NGO,13108293,,,P013,G016,Gujarat,UPI,Pending,International NGO
T000034,2026-01-30,Income,Individual Donation,65791,,,P014,G016,Rajasthan,Cheque,Failed,Individual Donation
